StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
EST-0001,17,1,1,2,19.9,7,1,2,0,1,1,0,4.0,0
EST-0002,18,0,0,2,15.9,0,0,2,0,1,0,0,3.03,1
EST-0003,15,0,2,4,5.8,14,0,3,1,1,1,1,1.69,4
EST-0004,17,1,0,4,11.0,17,0,3,1,0,0,1,2.27,3
EST-0005,17,1,0,2,6.2,0,1,3,1,1,1,0,2.83,2
EST-0006,18,0,0,2,9.4,10,0,2,0,1,1,1,2.8,2
EST-0007,15,0,1,1,16.0,22,0,2,0,1,0,1,2.27,3
EST-0008,15,1,1,4,15.9,1,0,4,1,1,1,1,3.91,0
EST-0009,17,0,0,1,6.1,0,1,2,1,1,0,0,3.68,0
EST-0010,16,1,0,2,18.6,11,1,2,1,1,1,0,3.37,1
EST-0011,17,0,1,2,12.7,15,0,2,1,0,1,0,2.94,2
EST-0012,17,0,0,2,8.8,21,0,3,1,0,1,1,2.78,2
EST-0013,17,0,1,1,11.0,21,0,3,1,1,0,0,2.05,3
EST-0014,17,0,1,3,12.9,9,1,2,0,1,0,0,3.74,0
EST-0015,18,1,0,1,12.1,17,1,1,0,1,0,0,2.57,2
EST-0016,15,0,0,3,10.8,14,0,0,0,0,1,1,2.78,2
EST-0017,18,0,3,1,11.1,16,1,2,1,1,0,0,2.14,3
EST-0018,18,1,1,1,5.2,9,0,2,1,1,0,0,1.65,4
EST-0019,18,0,1,4,16.6,2,1,4,1,1,0,0,4.0,0
EST-0020,17,0,0,1,11.8,20,0,2,0,1,1,0,1.86,4
EST-0021,16,1,1,4,4.4,15,1,2,1,1,1,1,2.44,3
EST-0022,15,0,0,3,15.8,5,0,4,0,1,1,0,3.6,0
EST-0023,16,1,1,1,18.8,2,1,2,1,0,1,0,4.0,0
EST-0024,18,1,3,4,19.1,8,0,3,1,1,0,1,3.58,0
EST-0025,18,1,0,1,8.6,10,0,1,1,1,1,1,2.04,3
EST-0026,16,1,0,4,4.4,20,0,2,0,1,0,1,1.86,4
EST-0027,16,0,0,1,11.3,12,0,4,0,1,1,1,2.51,2
EST-0028,16,1,0,4,4.0,17,1,3,0,1,0,1,2.27,3
EST-0029,18,0,0,0,18.8,21,0,2,1,1,0,0,1.91,4
EST-0030,18,0,0,3,5.3,23,1,3,0,1,1,1,2.36,3
EST-0031,15,0,2,3,6.5,21,1,4,1,1,0,1,2.41,3
EST-0032,15,0,1,4,9.3,3,0,2,1,1,0,1,3.58,0
EST-0033,18,0,0,4,8.9,21,0,2,0,0,0,0,1.68,4
EST-0034,16,0,3,4,16.3,23,0,4,0,0,0,0,2.7,2
EST-0035,16,0,0,4,10.2,7,0,1,1,0,1,0,3.66,0
EST-0036,15,0,3,1,5.1,12,1,3,1,1,1,1,2.29,3
EST-0037,18,0,0,2,6.8,9,1,3,1,0,0,0,2.94,2
EST-0038,15,0,2,2,11.2,1,1,3,1,0,1,1,3.26,1
EST-0039,15,1,1,2,4.7,7,1,2,0,0,0,1,2.33,3
EST-0040,17,1,2,2,13.0,5,0,2,0,0,0,0,3.77,0
EST-0041,17,1,3,3,12.2,15,1,3,0,1,1,0,3.28,1
EST-0042,17,0,0,1,14.9,17,0,2,1,0,0,0,2.64,2
EST-0043,16,1,3,3,18.9,16,0,2,1,0,1,1,2.43,3
EST-0044,18,1,0,1,18.4,5,1,1,1,1,0,0,3.85,0
EST-0045,18,1,0,2,19.0,12,1,0,0,0,1,0,3.84,0
EST-0046,18,0,0,3,6.4,22,1,4,1,1,1,0,3.04,1
EST-0047,18,0,1,3,4.4,13,1,2,1,0,0,0,2.92,2
EST-0048,17,0,0,3,7.4,20,1,4,0,0,1,0,2.3,3
EST-0049,16,0,1,3,18.1,9,1,1,0,0,0,1,3.81,0
EST-0050,16,1,1,1,19.5,23,0,3,1,1,1,1,2.99,2
EST-0051,17,1,2,3,17.5,10,0,2,0,0,0,0,2.6,2
EST-0052,16,1,2,1,4.0,12,0,3,1,0,1,1,1.74,4
EST-0053,17,1,1,2,19.1,11,1,3,0,1,1,1,4.0,0
EST-0054,18,0,0,2,9.6,8,0,1,1,0,1,1,2.99,2
EST-0055,17,0,0,0,2.2,3,0,4,0,0,0,0,1.91,4
EST-0056,18,0,0,2,10.0,6,0,1,0,0,1,1,3.09,1
EST-0057,18,1,0,4,2.8,23,0,3,0,0,0,0,1.89,4
EST-0058,15,0,0,4,11.8,21,0,4,0,0,1,1,3.02,1
EST-0059,17,0,0,2,8.1,1,0,4,1,1,1,0,2.99,2
EST-0060,15,1,3,0,10.5,6,1,4,1,1,0,1,3.62,0
EST-0061,17,1,1,1,13.0,8,1,2,0,1,1,1,3.64,0
EST-0062,17,0,0,2,17.6,4,1,1,1,0,0,0,3.66,0
EST-0063,15,0,1,4,13.9,14,0,1,0,0,0,0,2.85,2
EST-0064,15,0,0,1,9.8,17,1,2,0,0,0,1,2.37,3
EST-0065,17,0,1,3,16.7,3,1,3,1,0,0,0,4.0,0
EST-0066,16,0,1,1,18.3,18,0,1,1,0,0,0,2.6,2
EST-0067,18,0,1,4,4.2,19,1,3,1,1,1,0,2.19,3
EST-0068,15,1,1,2,11.6,6,0,2,1,1,0,0,2.72,2
EST-0069,18,1,3,3,7.1,7,1,2,1,1,1,1,3.19,1
EST-0070,16,1,2,2,2.8,16,0,3,1,0,0,0,2.31,3
EST-0071,16,0,1,3,14.0,12,0,2,1,1,0,1,2.44,3
EST-0072,16,1,1,1,17.5,23,1,3,0,1,1,1,3.72,0
EST-0073,15,0,1,1,4.9,20,0,1,1,1,1,0,1.74,4
